2007,Angus & Julia Stone,Just A Boy (von Speckis),https://open.spotify.com/track/2vxp4comsmmJJMrS8TNVxW
2007,Feist,My Moon My Man (von Speckis),https://open.spotify.com/track/4fQVQKIiidREPI0MhFEuDn
2007,M.I.A.,Paper Planes (von Speckis),https://open.spotify.com/track/1ixbwbeBi5ufN4noUKmW5a
2007,Shantel,Disko Partizani (von Speckis),https://open.spotify.com/track/7KJDhrV1hZFtqXj062xyW5
2008,Alexander Marcus & Andreas Thomas,Papaya (von Speckis),https://open.spotify.com/track/2e0mLwgTbgg7SxAF2nMByc
2008,Vampire Weekend,A-Punk (von Speckis),https://open.spotify.com/track/2DrGEaqoruCSn0FffWCf5O
2010,Angus & Julia Stone,Big Jet Plane (von Speckis),https://open.spotify.com/track/7znAjItIP7xKKhyFzF5W1B
2010,Caribou,Odessa (von Speckis),https://open.spotify.com/track/3iwH1DfB0Yq2uKhCv7SMxp
2010,Zaz,Je veux (von Speckis),https://open.spotify.com/track/734dz1YaFITwawPpM25fSt
2011,BOY,Little Numbers (von Speckis),https://open.spotify.com/track/2q6Na4axOEIe46qufv98G
2011,Metronomy,The Look (von Speckis),https://open.spotify.com/track/6zfczP87XO2SxWlQtnjFNa
2012,alt-J,Breezeblocks (von Speckis),https://open.spotify.com/track/1ZLroqJA8qoS5QEeCo0fA7
2012,Ariel Pink,DāM-FunK,Baby (von Speckis),https://open.spotify.com/track/1e4kwCOOIv8OHBHSd3avgQ
2012,Django Django,Default (von Speckis),https://open.spotify.com/track/1EmimnysAUBhiy8rDbNN01
2013,Junip,Your Life Your Call (von Speckis),https://open.spotify.com/track/0aQqq7lD6X7SVV9wmzAqGH
2013,Moderat,Bad Kingdom (von Speckis),https://open.spotify.com/track/52XjrfqvrxaMtjCDYEKkXN
2013,Paul Kalkbrenner & Fritz Kalkbrenner,Sky and Sand (von Speckis),https://open.spotify.com/track/3ZSqMer9RLSglvi18bWXYV
2014,Azealia Banks & Lazy Jay,212 (von Speckis),https://open.spotify.com/track/7mDKRYiqejoHzP7dQGxLys
2014,Electric Youth & College,A Real Hero (von Speckis),https://open.spotify.com/track/1AP2IcI8jxP07wSjrcWwxJ
2015,Beach House,Space Song (von Speckis),https://open.spotify.com/track/1ZgMsA55GIY7ICkQh5MILA
2016,Angel Olsen,Shut Up Kiss Me (von Speckis),https://open.spotify.com/track/3EEr6l5PYelwkrvvKX7N0X
2016,Father John Misty,Real Love Baby (von Speckis),https://open.spotify.com/track/0Z57YWES04xGh3AImDz6Qr
2005,Modena City Ramblers,Bella ciao (von Tete),https://open.spotify.com/track/3NwVga1qCZ6TgJ8RVcBbKD
1990,Laid Back,Bakerman (von Thèrese),https://open.spotify.com/track/68Wrmobntys0DWyV4gBiUR
1978,Jacob Miller,Natty No Santa Claus (von Thomas),https://open.spotify.com/track/01SsyO6lkt7RlMF4HLltuv
1984,Wham!,Last Christmas (von Thomas),https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
1986,Chris Rea,Driving Home for Christmas  (von Thomas),https://open.spotify.com/track/27qAMKrDdKEs8HDXcvR24R
2005,Element of Crime,Straßenbahn des Todes (von Thomas),https://open.spotify.com/track/3Fu6aRJrvl5QwyjF3RlFkd
2020,Chilly Gonzales,Last Christmas (von Thomas),https://open.spotify.com/track/6BcEPX7ERivFPNgByRXj5z
1992,Jovanotti,Ragazzo Fortunato (von Verena),https://open.spotify.com/track/0x3reuFIL9WfzDdzoigr8p
1997,Carmen Consoli,Confusa E Felice (von Verena),https://open.spotify.com/track/1a10vXQu5AzGyH3Aseqbhp
2003,Carmen Consoli,Fiori d'arancio (von Verena),https://open.spotify.com/track/4BHbf7F8Wzs9EoHVHslIB9
2021,Ariete,L'ultima notte (von Verena),https://open.spotify.com/track/63mdY4U0KvnbMkUEc7FHN8
2013,Men Without Hats,The Safety Dance (von Verena/Andi),https://open.spotify.com/track/5O4NFbDqJ8SOfbjnIhdPDt
1998,Tryo,L'hymne de nos campagnes (von Yago),https://open.spotify.com/track/3euuy6K2EOSA1BmsgKpdQ6
2003,Tryo,Si la vie m'a mis là (von Yago),https://open.spotify.com/track/0WKcSqeDF2cXins1NirgwH
2003,Tryo,Désolé pour hier soir (von Yago),https://open.spotify.com/track/2WW1oThg3cvweZykXF0lCn
1954,Yma Sumac,Gopher,https://open.spotify.com/track/1YzgxLvIISW2RTnKIYE160
1958,Jackie Wilson,Reet Petite,https://open.spotify.com/track/3h4udS0WeWbsur3yfjvnm4
1965,Astrud Gilberto & Antônio Carlos Jobim,Agua De Beber,https://open.spotify.com/track/4SSADZr3VsQeoqNbjLXw8W
1965,The Rolling Stones,Everybody Needs Somebody To Love,https://open.spotify.com/track/7AjHtyU0aLwdqb68uzwRlh
1966,James Brown & The Famous Flames,I Got You (I Feel Good),https://open.spotify.com/track/5haXbSJqjjM0TCJ5XkfEaC
1966,The Animals,House Of The Rising Sun,https://open.spotify.com/track/61Q9oJNd9hJQFhSDh6Qlap
1968,The Rolling Stones,Street Fighting Man,https://open.spotify.com/track/09t1lDivsjZffcTC7rNa2m
1970,Chico Buarque,Gente Humilde,https://open.spotify.com/track/24OF9ihv97VwNXQZ2gGy8v
1970,Joci Batista,Briga de Artista,https://open.spotify.com/track/2G5WuMcmSt3y9PbgzMbeQI
